Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
16123828,The Nature of Code,Daniel Shiffman,"Shiffman, Daniel",,985930802,9.78099E+12,0,The Nature of Code,Paperback,520,2012,2012,,30/8/2026,to-read,to-read (#89),to-read,,,,0,0
15638,Cyrano de Bergerac,Edmond Rostand,"Rostand, Edmond","Lowell Bair, Eteel Lawson",451528921,9.78045E+12,2,Signet Classics,Mass Market Paperback,240,2003,1897,,19/8/2026,,,read,,,,1,0
18670233,Quack This Way,David Foster Wallace,"Wallace, David Foster",Bryan A. Garner,979606039,9.78098E+12,1,Penrose Publishing,Paperback,146,2013,2013,,19/8/2026,,,read,,,,1,0
105970,"Ultimate Spider-Man, Volume 6",Brian Michael Bendis,"Bendis, Brian Michael",Mark Bagley,785118411,9.78079E+12,2,Marvel,Hardcover,288,2005,2005,19/8/2026,19/8/2026,,,read,,,,1,0
25524744,The Room on the Roof,Ruskin Bond,"Bond, Ruskin",,143333380,9.78014E+12,0,Penguin/Puffin,Paperback,208,2014,1956,,25/2/2022,,,read,,,,1,0
106069,Batman: The Long Halloween,Jeph Loeb,"Loeb, Jeph",Tim Sale,1563894696,9.78156E+12,4,DC Comics,Paperback,376,1999,1997,5/11/2024,2/11/2024,comics,comics (#9),read,,,,1,0
59980,Batman: Year One,Frank Miller,"Miller, Frank","David Mazzucchelli, Richmond Lewis, Dennis O'Neil, Todd Klein",1401207529,9.7814E+12,2,DC Comics,Paperback,136,2007,1988,2/11/2024,1/11/2024,comics,comics (#9),read,,,,1,0
96358,Batman: The Killing Joke,Alan Moore,"Moore, Alan","Brian Bolland, Tim Sale",930289455,9.78093E+12,5,DC Comics,Paperback,50,1995,1988,8/11/2024,5/11/2024,comics,comics (#7),read,,,,1,0
106076,Batman: Dark Victory,Jeph Loeb,"Loeb, Jeph",Tim Sale,1563898683,9.78156E+12,3,DC Comics,Paperback,391,2002,2000,7/11/2024,5/11/2024,comics,comics (#6),read,,,,1,0
2182780,Batman: The Man Who Laughs,Ed Brubaker,"Brubaker, Ed","Doug Mahnke, Patrick Zircher, Aaron Sowd, Steve Bird",1401216226,9.7814E+12,3,DC Comics,Hardcover,144,2008,2005,2/11/2024,1/11/2024,comics,comics (#8),read,,,,1,0
105920,"Ultimate Spider-Man, Volume 1: Power and Responsibility",Brian Michael Bendis,"Bendis, Brian Michael","Mark Bagley, Stuart Immonen, David Lafuente, Trevor Hairsine",078510786X,9.78079E+12,3,Marvel Enterprises,Paperback,200,2002,2001,15/8/2026,13/8/2026,comics,comics (#5),read,,,,1,0
105924,"Ultimate Spider-Man, Volume 2",Brian Michael Bendis,"Bendis, Brian Michael",Mark Bagley,785110615,9.78079E+12,3,Marvel Enterprises,Hardcover,336,2003,2002,15/8/2026,15/8/2026,comics,comics (#5),read,,,,1,0
105955,"Ultimate Spider-Man, Volume 3",Brian Michael Bendis,"Bendis, Brian Michael",Mark Bagley,785111565,9.78079E+12,3,Marvel Enterprises,Hardcover,304,2003,2003,17/8/2026,15/8/2026,comics,comics (#3),read,,,,1,0
25751460,Amazing Fantasy #15: Spider-Man!,Stan Lee,"Lee, Stan",Steve Ditko,,,3,Marvel,Kindle Edition,41,2012,1962,11/8/2026,11/8/2026,comics,comics (#4),read,,,,1,0
105926,"Ultimate Spider-Man, Volume 4",Brian Michael Bendis,"Bendis, Brian Michael","Mark Bagley, Joe Quesada",785112499,9.78079E+12,2,Marvel Enterprises,Hardcover,336,2004,2004,17/8/2026,17/8/2026,comics,comics (#2),read,,,,1,0
41819614,"Ultimate Spider-Man, Tome 5: Ultimate six",Brian Michael Bendis,"Bendis, Brian Michael","Mark Bagley, Trevor Hairsine, Sophie Watine-Vievard",2809463344,9.78281E+12,4,PANINI,Hardcover,236,2017,2004,17/8/2026,17/8/2026,comics,comics (#1),read,,,,1,0
15823480,Anna Karenina,Leo Tolstoy,"Tolstoy, Leo","Aylmer Maude, Louise Maude, Dieter Wellershoff, Bruno Goetz, Lev Tolstoj",345803922,9.78035E+12,0,Vintage,Paperback,964,2012,1878,,15/8/2026,to-read,to-read (#88),to-read,,,,0,0
50270,Master And Man,Leo Tolstoy,"Tolstoy, Leo",,1421803674,9.78142E+12,0,,Hardcover,57,2006,1895,,15/8/2026,to-read,to-read (#87),to-read,,,,0,0
36630417,Boo Aur Anya Kahaniyan,Saadat Hasan Manto,"Manto, Saadat Hasan",,,,2,Rajpal,Paperback,162,,,,27/10/2024,,,read,,,,1,0
11961425,Toba Tek Singh: Stories,Saadat Hasan Manto,"Manto, Saadat Hasan",Khalid Hasan,143416073,9.78014E+12,4,Penguin Books India,Paperback,160,,2008,,27/10/2024,,,read,,,,1,0
34608848,Khol Do / کھول دو,سعادت حسن منٹو,"منٹو, سعادت حسن",Saadat Hasan Manto,,,5,,Paperback,,1952,,,27/10/2024,,,read,,,,1,0
18386,The Death of Ivan Ilych,Leo Tolstoy,"Tolstoy, Leo","Aylmer Maude, Louise Maude",,,4,Waking Lion Press,Paperback,86,2006,1886,15/8/2026,5/8/2026,,,read,Dread just pure dread,,,1,0
6375845,Batman: Hush,Jeph Loeb,"Loeb, Jeph","Jim Lee, Scott  Williams",1401223176,9.7814E+12,0,DC Comics,Paperback,320,2009,2002,,14/8/2026,to-read,to-read (#86),to-read,,,,0,0
23995376,Letter to the Father / Brief an den Vater,Franz Kafka,"Kafka, Franz","Ernst Kaiser, Eithne Wilkins, Tom McCarthy",805212663,9.78081E+12,4,Schocken,Paperback,144,2015,1919,11/8/2026,11/10/2023,,,read,"This hits so close to home.The way Kafka fought with his inner thoughts blaming his father while simultaneously defending him was so crude and raw<br/><br/>“Even if your method of upbringing might in some unlikely case have set me on my own feet by means of producing defiance, dislike, or even hate in me, Mother canceled that out again by kindness, by talking sensibly.”<br/><br/>I nearly cried reading these sentences God,this was such a beautiful read",,,1,0
26796776,The Bet,Anton Chekhov,"Chekhov, Anton",,,,3,HarperCollins,Unknown Binding,25,2015,1889,9/8/2026,9/8/2026,,,read,,,,1,0
55019161,"The Da Vinci Code (Robert Langdon, #2)",Dan    Brown,"Brown, Dan",,,,0,Anchor,Paperback,480,2020,2003,,8/8/2026,currently-reading,currently-reading (#2),currently-reading,,,,1,0
232410,The Catcher in the Rye,J.D. Salinger,"Salinger, J.D.",,140012486,9.78014E+12,1,Penguin Books,Mass Market Paperback,220,1986,1951,8/8/2026,4/8/2026,,,read,,,,1,0
739735,How to Prove It: A Structured Approach,Daniel J. Velleman,"Velleman, Daniel J.",,521675995,9.78052E+12,0,Cambridge University Press,Paperback,384,2006,1994,,26/7/2026,currently-reading,currently-reading (#1),currently-reading,,,,1,0
18806499,Sputnik Sweetheart,Haruki Murakami,"Murakami, Haruki",Philip Gabriel,,,0,Vintage,Paperback,229,2002,1999,12/1/2024,20/12/2023,,,read,,,,1,0
834713,A Thousand Splendid Suns,Khaled Hosseini,"Hosseini, Khaled",,747582971,9.78075E+12,0,Bloomsbury Publishing,Paperback,372,2007,2007,,25/2/2022,,,read,,,,1,0
12532265,The Kite Runner,Khaled Hosseini,"Hosseini, Khaled",,140882485X,9.78141E+12,5,Bloomsbury UK,Paperback,342,2011,2003,,17/2/2022,,,read,,,,1,0
8045416,"To Kill a Mockingbird (To Kill a Mockingbird, #1)",Harper Lee,"Lee, Harper",,,,0,Arrow Books,Paperback,309,2010,1960,,7/2/2023,,,read,,,,1,0
1058052,The Metamorphosis,Franz Kafka,"Kafka, Franz",Michael Hofmann,141023457,9.78014E+12,5,Penguin,Paperback,98,2006,1915,13/10/2023,8/10/2023,,,read,,,,1,0
17308035,Norwegian Wood,Haruki Murakami,"Murakami, Haruki",,99584352,9.7801E+12,4,Einaudi,Paperback,388,2010,1987,3/11/2023,26/10/2023,,,read,,,,1,0
11222940,No Longer Human,Osamu Dazai,"Dazai, Osamu",Donald Keene,,,3,New Directions Publishing,Paperback,177,2001,1948,10/2/2024,18/11/2023,,,read,,,,1,0
25909216,Sophie's World,Jostein Gaarder,"Gaarder, Jostein",,1474602282,9.78147E+12,3,Orion Publishing Group,Paperback,444,2015,1991,1/6/2024,29/10/2023,,,read,,,,1,0
489732,The Picture of Dorian Gray,Oscar Wilde,"Wilde, Oscar",Robert Mighall,141439572,9.78014E+12,2,Penguin Classics,Paperback,253,2003,1890,16/12/2023,13/10/2023,,,read,,,,1,0
845041,The Problems of Philosophy,Bertrand Russell,"Russell, Bertrand",John R. Perry,019511552X,9.7802E+12,4,Oxford University Press,Paperback,167,1997,1912,31/1/2025,22/1/2025,,,read,,,,1,0
27031468,The Oblong Box,Edgar Allan Poe,"Poe, Edgar Allan",Russell Lee,1517362962,9.78152E+12,3,CreateSpace Independent Publishing Platform,Paperback,36,2015,1844,30/12/2024,30/12/2024,,,read,,,,1,0
54317755,The Masque of the Red Death,Edgar Allan Poe,"Poe, Edgar Allan",,,,3,,Kindle Edition,8,2020,1842,29/12/2024,29/12/2024,,,read,,,,1,0
26059591,The Black Cat,Edgar Allan Poe,"Poe, Edgar Allan",Russell Lee,1502990253,9.7815E+12,3,CreateSpace Independent Publishing Platform,Paperback,32,2014,1843,27/12/2024,28/5/2024,,,read,,,,1,0
3149348,Animal Farm+,George Orwell.,"Orwell., George",,141036133,9.78014E+12,5,Penguin Books,Paperback,95,2008,1945,30/1/2025,30/1/2025,,,read,,,,1,0
38213085,"Mythos - The Greek Myths Retold (Stephen Fry's Great Mythology, #1)",Stephen Fry,"Fry, Stephen",,1405934131,9.78141E+12,3,Penguin Books,Paperback,459,2018,2017,26/8/2025,28/5/2025,,,read,,,,1,0
6564051,Kafka on the Shore,Haruki Murakami,"Murakami, Haruki",,,,5,Vintage,Kindle Edition,505,2005,2002,7/4/2024,26/10/2023,,,read,,,,1,0
39342610,The Fun They Had,Isaac Asimov,"Asimov, Isaac",,,,2,NEA Service,ebook,,1951,1951,31/7/2026,31/7/2026,,,read,"Remember reading this in 9th grade and laughing,thinking  ‘’Surely this can’t happen’’ 2 years later corona happened ",,,1,0
15839976,"Red Rising (Red Rising Saga, #1)",Pierce Brown,"Brown, Pierce",,,,0,Del Rey,Hardcover,382,2014,2014,,5/8/2026,to-read,to-read (#85),to-read,,,,0,0
29579,"Foundation (Foundation, #1)",Isaac Asimov,"Asimov, Isaac",,553803719,9.78055E+12,0,Bantam,Hardcover,244,2004,1951,,5/8/2026,to-read,to-read (#84),to-read,,,,0,0
44767458,"Dune (Dune, #1)",Frank Herbert,"Herbert, Frank",,059309932X,9.78059E+12,0,Ace,Hardcover,658,2019,1965,,5/8/2026,to-read,to-read (#83),to-read,,,,0,0
2165,The Old Man and the Sea,Ernest Hemingway,"Hemingway, Ernest",,684830493,9.78068E+12,2,Scribner,Hardcover,96,1996,1952,4/8/2026,3/8/2026,,,read,I miss that boy as well,,,1,0
780072,Crito,Plato,"Plato, Plato",Chris Emlyn-Jones,1853994693,9.78185E+12,0,Bristol Classical Press,paper,200,1999,-385,,3/8/2026,,,read,,,,1,0
59151,Chess Story,Stefan Zweig,"Zweig, Stefan","Peter Gay, Joel Rotenberg, Стефан Цвайг",1590171691,9.78159E+12,4,NYRB Classics,Paperback,104,2005,1942,3/8/2026,29/10/2024,,,read,"I think the only way I can reach 2000 Elo rating is through extended solitude, Gripping writing I must say 👌🏻",,,1,0
