Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2023-10-08,Kaun?,1999,https://boxd.it/4Xturx,4.5,,,2023-10-08
2023-10-11,Stalker,1979,https://boxd.it/4YMPOJ,5,,,2023-10-11
2023-12-19,Karthik Calling Karthik,2010,https://boxd.it/5lEgw7,3.5,,,2023-12-18
2024-01-07,12th Fail,2023,https://boxd.it/5wB2J5,5,Yes,,2024-01-07
2025-05-23,Indie Game: The Movie,2012,https://boxd.it/9LHVIl,5,,,2025-05-23
2026-06-18,October,2018,https://boxd.it/eQ3EVn,1,,,2026-02-08
2026-06-18,Mohabbatein,2000,https://boxd.it/eQ3Dnp,5,,,2026-02-16
2026-03-27,Scott Pilgrim vs. the World,2010,https://boxd.it/dGSnQT,3.5,,,2026-03-26
2026-03-29,Project Hail Mary,2026,https://boxd.it/dIvNGH,5,,,2026-03-28
2026-06-18,The Martian,2015,https://boxd.it/eQ3AWB,3.5,,,2026-04-03
2026-06-18,Cars,2006,https://boxd.it/eQ3zHZ,2.5,,,2026-06-10
2026-06-18,Cars 2,2011,https://boxd.it/eQ3A5n,,,,2026-06-11
2026-06-18,Maharaja,2024,https://boxd.it/eQ3za7,3,,,2026-06-18
2026-06-22,Fitoor,2016,https://boxd.it/eSZBkn,3.5,,,2026-06-21
2026-06-23,Megamind,2010,https://boxd.it/eUABVL,3.5,,,2026-06-23
2026-06-24,Thappad,2020,https://boxd.it/eVlWon,,,,2026-06-24
2026-06-25,De Dana Dan,2009,https://boxd.it/eVC259,,,,2026-06-24
2026-06-25,The Sixth Sense,1999,https://boxd.it/eWbRDh,2,,,2026-06-25
2026-06-26,The Poughkeepsie Tapes,2007,https://boxd.it/eWj56l,,,,2026-06-25
2026-06-27,Voicemails for Isabelle,2026,https://boxd.it/eXhY03,,,,2026-06-27
2026-06-27,Sir,2018,https://boxd.it/eXO8iv,,,,2026-06-27
2026-06-28,Ek Main Aur Ekk Tu,2012,https://boxd.it/eY1vSR,4,,,2026-06-27
2026-07-26,Oppenheimer,2023,https://boxd.it/fqJfW9,3,,,2026-07-25
2026-07-29,The Odyssey,2026,https://boxd.it/fuAl09,4,,,2026-07-28
2026-08-01,2001: A Space Odyssey,1968,https://boxd.it/fynZFh,4,,,2026-07-31
2026-08-01,Donald in Mathmagic Land,1959,https://boxd.it/fz4AYJ,5,,,2026-08-01
2026-08-05,Spider-Man: Brand New Day,2026,https://boxd.it/fDL6h3,3,Yes,,2026-08-04
2026-08-07,Obsession,2025,https://boxd.it/fG7dvt,5,,,2026-08-06
2026-08-08,Chronicle,2012,https://boxd.it/fHc4MT,3,,,2026-08-07
2026-08-08,The Sheep Detectives,2026,https://boxd.it/fI6ykR,4,,,2026-08-08
2026-08-09,The Man Who Knew Infinity,2015,https://boxd.it/fIAsN9,2.5,,,2026-08-08
2026-08-11,Batman Begins,2005,https://boxd.it/fKRWdH,3,,,2026-08-10
2026-08-11,The Dark Knight,2008,https://boxd.it/fLUxF7,4.5,,,2026-08-11
2026-08-12,The Dark Knight Rises,2012,https://boxd.it/fMWwtd,4,,,2026-08-12
2026-08-13,Main Vaapas Aaunga,2026,https://boxd.it/fNm6nb,4.5,,,2026-08-12
2026-08-14,Sardar Udham,2021,https://boxd.it/fOetzn,3,,,2026-08-13
2026-08-14,Everything Everywhere All at Once,2022,https://boxd.it/fP6T49,3,,,2026-08-14
2026-08-15,M,1931,https://boxd.it/fPp4yl,,,,2026-08-14
2026-08-15,The Seventh Seal,1957,https://boxd.it/fQeHb3,4,,,2026-08-15
2026-08-16,Loving Vincent,2017,https://boxd.it/fRsNHL,5,,,2026-08-16
2026-08-18,X-Men: First Class,2011,https://boxd.it/fSNfSB,4,,,2026-08-17
2026-08-18,X-Men Origins: Wolverine,2009,https://boxd.it/fTJYxf,2,,,2026-08-18
2026-08-18,X-Men,2000,https://boxd.it/fTM3iX,3,,,2026-08-18
2026-08-19,X2,2003,https://boxd.it/fUvLlr,3,,,2026-08-19
2026-08-20,X-Men: The Last Stand,2006,https://boxd.it/fV9jr7,1,,,2026-08-19
2026-08-20,The Wolverine,2013,https://boxd.it/fVT1Oz,1.5,,,2026-08-20
2026-08-23,X-Men: Days of Future Past,2014,https://boxd.it/fYRBov,3.5,,,2026-08-23
2026-08-25,X-Men: Apocalypse,2016,https://boxd.it/g14a7r,2.5,,,2026-08-25
2026-08-27,Logan,2017,https://boxd.it/g2YKht,4,,,2026-08-27
2026-08-28,Deadpool,2016,https://boxd.it/g3TcfH,,,,2026-08-28
2026-08-29,Deadpool 2,2018,https://boxd.it/g4e7tr,3.5,Yes,,2026-08-28
2026-08-29,Deadpool & Wolverine,2024,https://boxd.it/g4XwWX,3,,,2026-08-29
2026-08-30,The Avengers,2012,https://boxd.it/g5YhBh,,Yes,,2026-08-30
2026-08-30,Avengers: Age of Ultron,2015,https://boxd.it/g67yJb,,Yes,,2026-08-30
2026-08-31,Captain America: Civil War,2016,https://boxd.it/g6FrZ5,3.5,Yes,,2026-08-31
2026-08-31,Avengers: Infinity War,2018,https://boxd.it/g7cw6b,,Yes,,2026-08-31
2026-08-31,Avengers: Endgame,2019,https://boxd.it/g7fINd,,Yes,,2026-08-31
2026-09-01,Anora,2024,https://boxd.it/g7PhtR,3,,,2026-09-01
