Date,Name,Year,Letterboxd URI
2023-06-17,Hereditary,2018,https://boxd.it/hNVe
2023-06-17,Shutter Island,2010,https://boxd.it/1U82
2023-06-17,Fight Club,1999,https://boxd.it/2a9q
2023-06-17,Captain America: Civil War,2016,https://boxd.it/89Ja
2023-06-17,The Notebook,2004,https://boxd.it/1UNE
2023-06-18,Harry Potter and the Philosopher's Stone,2001,https://boxd.it/29QS
2023-06-19,Up,2009,https://boxd.it/1OEc
2023-06-19,Se7en,1995,https://boxd.it/29zs
2023-06-23,John Wick,2014,https://boxd.it/7dEc
2023-06-24,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK
2023-06-27,"Love, Rosie",2014,https://boxd.it/62hE
2023-06-28,Puss in Boots: The Last Wish,2022,https://boxd.it/aaie
2023-07-16,About Time,2013,https://boxd.it/43bI
2023-08-02,Dead Poets Society,1989,https://boxd.it/2aSg
2023-08-04,Good Will Hunting,1997,https://boxd.it/2ahY
2023-08-07,Soul,2020,https://boxd.it/ioLA
2023-08-11,Coco,2017,https://boxd.it/bYJQ
2023-08-12,Prisoners,2013,https://boxd.it/4E5i
2023-08-13,NH10,2015,https://boxd.it/aOPW
2023-08-13,Haider,2014,https://boxd.it/8E5A
2023-08-13,Wake Up Sid,2009,https://boxd.it/1C8e
2023-08-13,3 Idiots,2009,https://boxd.it/1Dsa
2023-08-13,Chhichhore,2019,https://boxd.it/lZOW
2023-08-15,The Hangover,2009,https://boxd.it/1GjK
2023-08-19,The Silence of the Lambs,1991,https://boxd.it/2aHW
2023-08-22,Manto,2018,https://boxd.it/iMHC
2023-08-24,Andhadhun,2018,https://boxd.it/jtfc
2023-08-27,The Shining,1980,https://boxd.it/29Nu
2023-10-02,12 Angry Men,1957,https://boxd.it/2auI
2023-10-08,Delhi Belly,2011,https://boxd.it/2gEk
2023-10-08,Yeh Jawaani Hai Deewani,2013,https://boxd.it/5Cmo
2023-10-08,Kaun?,1999,https://boxd.it/4y6Y
2023-10-11,Stalker,1979,https://boxd.it/28PO
2023-10-15,The Prestige,2006,https://boxd.it/293w
2023-11-06,Raman Raghav 2.0,2016,https://boxd.it/dL2S
2023-12-14,Gangubai Kathiawadi,2022,https://boxd.it/oJek
2023-12-19,Karthik Calling Karthik,2010,https://boxd.it/1djw
2024-01-07,12th Fail,2023,https://boxd.it/I1sM
2024-08-18,Yavarum Nalam,2009,https://boxd.it/1Ekm
2024-08-20,Udta Punjab,2016,https://boxd.it/dXFW
2024-08-22,Ugly,2013,https://boxd.it/5MPq
2024-10-20,Jaane Tu... Ya Jaane Na,2008,https://boxd.it/1O2i
2024-10-30,The Matrix,1999,https://boxd.it/2a1m
2024-11-01,Chalte Chalte,2003,https://boxd.it/24BS
2024-11-30,Snowpiercer,2013,https://boxd.it/3Icg
2025-01-08,The Wild Robot,2024,https://boxd.it/IWFy
2025-04-18,The Cabinet of Dr. Caligari,1920,https://boxd.it/2aOo
2025-04-19,Nightcrawler,2014,https://boxd.it/780m
2025-05-23,Indie Game: The Movie,2012,https://boxd.it/2Nju
2025-08-25,Welcome Home,2020,https://boxd.it/sBea
2025-12-12,Tamasha,2015,https://boxd.it/bgLI
2025-12-12,Dev.D,2009,https://boxd.it/1L5I
2025-12-12,Jalebi,2018,https://boxd.it/k0wg
2025-12-12,Kapoor & Sons,2016,https://boxd.it/cZDm
2026-01-12,Rockstar,2011,https://boxd.it/2Lvo
2026-01-22,Jaane Jaan,2023,https://boxd.it/zRXk
2026-01-24,Sui Dhaaga - Made in India,2018,https://boxd.it/hU5u
2026-01-26,Haq,2025,https://boxd.it/SulU
2026-02-08,Swades,2004,https://boxd.it/1Ly6
2026-02-08,Badlapur,2015,https://boxd.it/avnO
2026-02-16,Mohabbatein,2000,https://boxd.it/1TFa
2026-03-21,Back to the Future,1985,https://boxd.it/2b8e
2026-03-27,Scott Pilgrim vs. the World,2010,https://boxd.it/1Aq6
2026-03-29,Project Hail Mary,2026,https://boxd.it/pEeQ
2026-06-22,Fitoor,2016,https://boxd.it/d3Ri
2026-06-28,Ek Main Aur Ekk Tu,2012,https://boxd.it/2YQE
2026-07-29,The Odyssey,2026,https://boxd.it/QFQU
2026-08-01,2001: A Space Odyssey,1968,https://boxd.it/2bf0
2026-08-01,Donald in Mathmagic Land,1959,https://boxd.it/1EDS
2026-08-05,Spider-Man: No Way Home,2021,https://boxd.it/nwRw
2026-08-06,Thor: Ragnarok,2017,https://boxd.it/8MHi
2026-08-06,Home Alone,1990,https://boxd.it/29Fg
2026-08-07,Obsession,2025,https://boxd.it/PNqo
2026-08-08,The Sheep Detectives,2026,https://boxd.it/NDSe
2026-08-11,The Dark Knight,2008,https://boxd.it/2b0k
2026-08-13,Main Vaapas Aaunga,2026,https://boxd.it/SXnA
2026-08-15,The Seventh Seal,1957,https://boxd.it/2ahO
2026-08-16,Loving Vincent,2017,https://boxd.it/biIQ
2026-08-18,X-Men: First Class,2011,https://boxd.it/FOA
2026-08-23,X-Men: Days of Future Past,2014,https://boxd.it/4aRw
2026-08-27,Logan,2017,https://boxd.it/7Piy
