Date,Name,Year,Letterboxd URI,Rating
2023-06-17,Fight Club,1999,https://boxd.it/2a9q,5
2023-06-17,The Pianist,2002,https://boxd.it/2aqc,3.5
2023-06-17,Shutter Island,2010,https://boxd.it/1U82,5
2023-06-17,Hereditary,2018,https://boxd.it/hNVe,3.5
2023-06-17,The Batman,2022,https://boxd.it/eDGs,3.5
2023-06-17,The Notebook,2004,https://boxd.it/1UNE,4.5
2023-06-18,He's All That,2021,https://boxd.it/bFbA,0.5
2023-06-19,Up,2009,https://boxd.it/1OEc,3.5
2023-06-20,Se7en,1995,https://boxd.it/29zs,3.5
2023-06-23,Captain America: Civil War,2016,https://boxd.it/89Ja,3.5
2023-06-23,Avengers: Infinity War,2018,https://boxd.it/9vEe,4.5
2023-06-23,John Wick,2014,https://boxd.it/7dEc,4
2023-07-01,Article 15,2019,https://boxd.it/m0mO,3
2023-07-02,The 40 Year Old Virgin,2005,https://boxd.it/21hK,3
2023-07-02,Puss in Boots: The Last Wish,2022,https://boxd.it/aaie,3.5
2023-07-02,"Love, Rosie",2014,https://boxd.it/62hE,3
2023-07-08,Nobody,2021,https://boxd.it/mLqS,3.5
2023-07-08,The Perks of Being a Wallflower,2012,https://boxd.it/2ZA8,2.5
2023-07-09,The Truman Show,1998,https://boxd.it/18U8,3.5
2023-07-09,Rango,2011,https://boxd.it/QPk,2.5
2023-07-11,About Time,2013,https://boxd.it/43bI,3.5
2023-07-15,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,https://boxd.it/2agQ,3
2023-07-16,John Wick: Chapter 3 – Parabellum,2019,https://boxd.it/gmFw,3
2023-07-16,We're the Millers,2013,https://boxd.it/4srQ,3
2023-07-28,The Hangover,2009,https://boxd.it/1GjK,3
2023-07-29,Sisu,2022,https://boxd.it/vHpu,3.5
2023-07-30,Saw,2004,https://boxd.it/2aWW,3
2023-07-30,The Hangover Part II,2011,https://boxd.it/PZI,3
2023-07-30,Return of the Jedi,1983,https://boxd.it/27Vm,2.5
2023-07-30,Solo: A Star Wars Story,2018,https://boxd.it/bGWs,2
2023-07-30,Atonement,2007,https://boxd.it/24ui,2
2023-07-30,Don't Breathe,2016,https://boxd.it/9yzw,2
2023-07-30,Cast Away,2000,https://boxd.it/20i8,2
2023-07-30,John Wick: Chapter 2,2017,https://boxd.it/ayGu,2.5
2023-07-30,The Girl Next Door,2004,https://boxd.it/1VSq,2
2023-07-30,Fifty Shades of Grey,2015,https://boxd.it/6qLo,1
2023-07-30,The Twilight Saga: Breaking Dawn – Part 1,2011,https://boxd.it/DdM,1
2023-07-30,The Twilight Saga: Breaking Dawn – Part 2,2012,https://boxd.it/DdC,1
2023-07-30,The Twilight Saga: Eclipse,2010,https://boxd.it/1ytW,1
2023-07-30,The Twilight Saga: New Moon,2009,https://boxd.it/1Hj2,1
2023-07-30,Twilight,2008,https://boxd.it/1Zui,1
2023-07-30,Lights Out,2016,https://boxd.it/bAHc,1.5
2023-07-30,How to Train Your Dragon,2010,https://boxd.it/1WRy,3
2023-07-30,Jaws,1975,https://boxd.it/2a5e,2
2023-07-30,The Texas Chain Saw Massacre,1974,https://boxd.it/1lcS,2.5
2023-07-30,Dostana,2008,https://boxd.it/1OOQ,1.5
2023-07-30,She's the Man,2006,https://boxd.it/1Y7W,1.5
2023-07-30,Dunkirk,2017,https://boxd.it/d0Y6,2
2023-07-30,The Garden of Words,2013,https://boxd.it/5Ymq,0.5
2023-07-30,The Visit,2015,https://boxd.it/9ssO,3
2023-07-30,My Neighbor Totoro,1988,https://boxd.it/20eA,2
2023-07-30,Grimsby,2016,https://boxd.it/7ZkO,1
2023-07-31,Brahmāstra Part One: Shiva,2022,https://boxd.it/hUJO,1
2023-07-31,Spider-Man: No Way Home,2021,https://boxd.it/nwRw,4
2023-07-31,Marjaavaan,2019,https://boxd.it/nfZy,0.5
2023-07-31,Tumbbad,2018,https://boxd.it/jDZk,3
2023-08-02,Dead Poets Society,1989,https://boxd.it/2aSg,4
2023-08-02,Harry Potter and the Philosopher's Stone,2001,https://boxd.it/29QS,4.5
2023-08-02,Shaun of the Dead,2004,https://boxd.it/29J8,2
2023-08-03,Carter,2022,https://boxd.it/u7UO,0.5
2023-08-03,Sicario,2015,https://boxd.it/8i7u,3
2023-08-04,Good Will Hunting,1997,https://boxd.it/2ahY,4
2023-08-05,Edge of Tomorrow,2014,https://boxd.it/4pD0,3
2023-08-05,Evil Dead Rise,2023,https://boxd.it/qIvo,3
2023-08-05,Paranormal Activity,2007,https://boxd.it/1yIM,2
2023-08-05,Star Wars,1977,https://boxd.it/72s,3.5
2023-08-05,The Empire Strikes Back,1980,https://boxd.it/27Vw,3
2023-08-08,World War Z,2013,https://boxd.it/2p2E,3
2023-08-08,Soul,2020,https://boxd.it/ioLA,4
2023-08-10,Guardians of the Galaxy Vol. 3,2023,https://boxd.it/fVNI,3
2023-08-11,The Black Phone,2021,https://boxd.it/sqFE,3
2023-08-11,Tag,2018,https://boxd.it/gh7Y,2
2023-08-11,Coco,2017,https://boxd.it/bYJQ,5
2023-08-12,Prisoners,2013,https://boxd.it/4E5i,3.5
2023-08-12,Love and Monsters,2020,https://boxd.it/lJ6E,3
2023-08-12,NH10,2015,https://boxd.it/aOPW,3.5
2023-08-13,Haider,2014,https://boxd.it/8E5A,4
2023-08-13,Wake Up Sid,2009,https://boxd.it/1C8e,3
2023-08-13,3 Idiots,2009,https://boxd.it/1Dsa,4
2023-08-13,Kabir Singh,2019,https://boxd.it/ldjc,3
2023-08-13,Jalebi,2018,https://boxd.it/k0wg,3
2023-08-13,Chhichhore,2019,https://boxd.it/lZOW,3.5
2023-08-14,Jab We Met,2007,https://boxd.it/1T2W,2.5
2023-08-15,Gonjiam: Haunted Asylum,2018,https://boxd.it/ioyw,3
2023-08-15,Game Night,2018,https://boxd.it/fRtu,3
2023-08-16,Constantine,2005,https://boxd.it/2a7E,2
2023-08-16,Black Panther: Wakanda Forever,2022,https://boxd.it/igPu,2.5
2023-08-16,Black Adam,2022,https://boxd.it/fup0,2
2023-08-17,Gone Girl,2014,https://boxd.it/6hQu,4
2023-08-18,The Blair Witch Project,1999,https://boxd.it/26ua,2
2023-08-18,Saw II,2005,https://boxd.it/2aRs,3
2023-08-19,The Silence of the Lambs,1991,https://boxd.it/2aHW,4
2023-08-20,Brother Bear,2003,https://boxd.it/1Xjs,3.5
2023-08-21,The Autopsy of Jane Doe,2016,https://boxd.it/dUu2,2.5
2023-08-22,Manto,2018,https://boxd.it/iMHC,4
2023-08-22,Dangal,2016,https://boxd.it/chfU,3
2023-08-24,Andhadhun,2018,https://boxd.it/jtfc,3.5
2023-08-31,Midsommar,2019,https://boxd.it/jhxe,3
2023-09-01,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,5
2023-09-01,The Shining,1980,https://boxd.it/29Nu,5
2023-10-02,12 Angry Men,1957,https://boxd.it/2auI,4
2023-10-08,Delhi Belly,2011,https://boxd.it/2gEk,4
2023-10-08,The Taking of Deborah Logan,2014,https://boxd.it/9r3o,3
2023-10-08,The Exorcist,1973,https://boxd.it/1Yoo,3
2023-10-08,Kaun?,1999,https://boxd.it/4y6Y,4.5
2023-10-08,Yeh Jawaani Hai Deewani,2013,https://boxd.it/5Cmo,3.5
2023-10-11,Goodnight Mommy,2014,https://boxd.it/8Niy,4
2023-10-11,Stalker,1979,https://boxd.it/28PO,5
2023-10-15,The Prestige,2006,https://boxd.it/293w,4
2023-10-15,Pari,2018,https://boxd.it/gvuC,2.5
2023-10-29,Incantation,2022,https://boxd.it/wFiI,3
2023-11-01,Bhool Bhulaiyaa,2007,https://boxd.it/1FQI,3.5
2023-11-05,Kai Po Che!,2013,https://boxd.it/5cWU,3.5
2023-11-06,Raman Raghav 2.0,2016,https://boxd.it/dL2S,4
2023-11-09,Kathal,2023,https://boxd.it/zHcI,3
2023-12-11,The White Tiger,2021,https://boxd.it/nhg6,3
2023-12-14,Before Sunrise,1995,https://boxd.it/2bcU,3
2023-12-19,Karthik Calling Karthik,2010,https://boxd.it/1djw,3.5
2023-12-19,The Gray Man,2022,https://boxd.it/rb7q,1
2024-01-07,12th Fail,2023,https://boxd.it/I1sM,5
2024-02-06,Whiplash,2014,https://boxd.it/7bQA,3.5
2024-08-20,Yavarum Nalam,2009,https://boxd.it/1Ekm,4
2024-08-20,Udta Punjab,2016,https://boxd.it/dXFW,4
2024-08-22,Ugly,2013,https://boxd.it/5MPq,4
2024-10-16,The Stanford Prison Experiment,2015,https://boxd.it/9QQK,3
2024-10-19,Memories of Murder,2003,https://boxd.it/1TSo,3.5
2024-10-19,Badhaai Do,2022,https://boxd.it/sl1E,3.5
2024-10-20,Jaane Tu... Ya Jaane Na,2008,https://boxd.it/1O2i,4
2024-10-23,Nightcrawler,2014,https://boxd.it/780m,4
2024-10-24,Chup Chup Ke,2006,https://boxd.it/1ELW,3
2024-10-30,Insomnia,2002,https://boxd.it/2aB0,3
2024-11-01,Chalte Chalte,2003,https://boxd.it/24BS,3.5
2024-11-30,Snowpiercer,2013,https://boxd.it/3Icg,4
2024-11-30,The Matrix,1999,https://boxd.it/2a1m,3.5
2025-01-08,The Wild Robot,2024,https://boxd.it/IWFy,4.5
2025-04-18,The Cabinet of Dr. Caligari,1920,https://boxd.it/2aOo,4
2025-04-19,Sherlock Jr.,1924,https://boxd.it/298m,4
2025-04-23,The Last Laugh,1924,https://boxd.it/22es,3.5
2025-05-23,Indie Game: The Movie,2012,https://boxd.it/2Nju,5
2025-07-05,Raat Akeli Hai,2020,https://boxd.it/lHSc,3
2025-08-22,Zindagi Na Milegi Dobara,2011,https://boxd.it/efo,3.5
2025-08-25,Welcome Home,2020,https://boxd.it/sBea,3
2025-10-13,The Prince of Egypt,1998,https://boxd.it/1XGQ,3
2025-12-12,Tamasha,2015,https://boxd.it/bgLI,4
2025-12-12,Dev.D,2009,https://boxd.it/1L5I,3.5
2025-12-12,Kapoor & Sons,2016,https://boxd.it/cZDm,4
2026-01-12,Rockstar,2011,https://boxd.it/2Lvo,4
2026-01-15,Stranger Things 5: The Finale,2025,https://boxd.it/YqXW,2
2026-01-15,Animal,2023,https://boxd.it/toAu,1.5
2026-01-15,Lost Ladies,2023,https://boxd.it/I0mS,3
2026-01-15,Gangubai Kathiawadi,2022,https://boxd.it/oJek,4
2026-01-16,Frankenstein,2025,https://boxd.it/Ecsg,3
2026-01-17,Aap Jaisa Koi,2025,https://boxd.it/Rwvq,2
2026-01-20,Jaane Jaan,2023,https://boxd.it/zRXk,3.5
2026-01-24,Sui Dhaaga - Made in India,2018,https://boxd.it/hU5u,3.5
2026-01-26,Haq,2025,https://boxd.it/SulU,3.5
2026-01-26,Sector 36,2024,https://boxd.it/Lmti,2.5
2026-02-08,October,2018,https://boxd.it/hUvi,1
2026-02-08,Badlapur,2015,https://boxd.it/avnO,3
2026-02-16,Mohabbatein,2000,https://boxd.it/1TFa,5
2026-03-27,Scott Pilgrim vs. the World,2010,https://boxd.it/1Aq6,3.5
2026-03-27,Love Aaj Kal,2009,https://boxd.it/1EJc,3
2026-03-27,Ok Jaanu,2017,https://boxd.it/eBak,3
2026-03-29,Project Hail Mary,2026,https://boxd.it/pEeQ,5
2026-04-02,The Martian,2015,https://boxd.it/8SeG,3.5
2026-04-06,Pawn Sacrifice,2014,https://boxd.it/7dlE,2
2026-06-02,Cars,2006,https://boxd.it/29ho,2.5
2026-06-18,Maharaja,2024,https://boxd.it/GiAu,3
2026-06-22,Fitoor,2016,https://boxd.it/d3Ri,3.5
2026-06-24,Megamind,2010,https://boxd.it/16Sk,3.5
2026-06-25,The Sixth Sense,1999,https://boxd.it/29Js,2
2026-06-26,Taxi Driver,1976,https://boxd.it/2b8y,2.5
2026-06-27,Voicemails for Isabelle,2026,https://boxd.it/mJVk,2.5
2026-06-27,Sir,2018,https://boxd.it/iNpa,3.5
2026-06-28,Ek Main Aur Ekk Tu,2012,https://boxd.it/2YQE,4
2026-06-28,The Secret Life of Walter Mitty,2013,https://boxd.it/3SWy,1.5
2026-06-28,Honor Society,2022,https://boxd.it/z1Bw,0.5
2026-06-28,Vanilla Sky,2001,https://boxd.it/27TK,2
2026-07-26,Oppenheimer,2023,https://boxd.it/wUow,3
2026-07-29,The Odyssey,2026,https://boxd.it/QFQU,4
2026-08-01,2001: A Space Odyssey,1968,https://boxd.it/2bf0,4
2026-08-01,Donald in Mathmagic Land,1959,https://boxd.it/1EDS,5
2026-08-05,Spider-Man: Brand New Day,2026,https://boxd.it/ACJE,3
2026-08-06,Thor: Ragnarok,2017,https://boxd.it/8MHi,4
2026-08-06,Home Alone,1990,https://boxd.it/29Fg,4
2026-08-07,Obsession,2025,https://boxd.it/PNqo,5
2026-08-08,Chronicle,2012,https://boxd.it/2Emk,3
2026-08-08,The Sheep Detectives,2026,https://boxd.it/NDSe,4
2026-08-09,The Man Who Knew Infinity,2015,https://boxd.it/bTpm,2.5
2026-08-11,Batman Begins,2005,https://boxd.it/2aIg,3
2026-08-11,The Dark Knight,2008,https://boxd.it/2b0k,4.5
2026-08-12,The Dark Knight Rises,2012,https://boxd.it/H3m,4
2026-08-13,Main Vaapas Aaunga,2026,https://boxd.it/SXnA,4.5
2026-08-14,Sardar Udham,2021,https://boxd.it/m5kS,3
2026-08-14,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,3
2026-08-15,The Seventh Seal,1957,https://boxd.it/2ahO,4
2026-08-16,Loving Vincent,2017,https://boxd.it/biIQ,5
2026-08-18,X-Men: First Class,2011,https://boxd.it/FOA,3.5
2026-08-18,X-Men Origins: Wolverine,2009,https://boxd.it/27ug,2
2026-08-18,X-Men,2000,https://boxd.it/1a7s,3
2026-08-19,X2,2003,https://boxd.it/1a7i,3
2026-08-20,X-Men: The Last Stand,2006,https://boxd.it/1a5Q,1
2026-08-20,The Wolverine,2013,https://boxd.it/2CWU,1.5
2026-08-23,X-Men: Days of Future Past,2014,https://boxd.it/4aRw,3.5
2026-08-25,X-Men: Apocalypse,2016,https://boxd.it/7eJi,2.5
2026-08-27,Logan,2017,https://boxd.it/7Piy,4
2026-08-29,Deadpool 2,2018,https://boxd.it/dlLM,3.5
2026-08-29,Deadpool & Wolverine,2024,https://boxd.it/jq8s,3
2026-08-31,Avengers: Endgame,2019,https://boxd.it/9vE4,4
2026-09-01,Anora,2024,https://boxd.it/Egcw,3
