Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2023-10-08,Kaun?,1999,https://boxd.it/4Xturx,4.5,,"Mam 🥰
Mam🤪
Mam😰
Mam☠️",,2023-10-08
2023-10-11,Stalker,1979,https://boxd.it/4YMPOJ,5,,"Cinematic masterpiece, left me with a lot of things to digest as the credits roll",,2023-10-11
2023-12-19,Karthik Calling Karthik,2010,https://boxd.it/5lEgw7,3.5,,Only my alter ego can fix me now,,2023-12-18
2024-01-07,12th Fail,2023,https://boxd.it/5wB2J5,5,Yes,Shraddha deserves princess treatment,,2024-01-07
2025-05-23,Indie Game: The Movie,2012,https://boxd.it/9LHVIl,5,,I love listening to people talk about the things they’re passionate about,,2025-05-23
2026-03-27,Scott Pilgrim vs. the World,2010,https://boxd.it/dGSnQT,3.5,,Loved the editing style in this one especially black screen transition’s 🤌🏻🤌🏻,,2026-03-26
2026-03-29,Project Hail Mary,2026,https://boxd.it/dIvNGH,5,,Kashmiri love affair,,2026-03-28
2026-06-22,Fitoor,2016,https://boxd.it/eSZBkn,3.5,,Bro is like me fr ( without the art skills),,2026-06-21
2026-06-25,The Sixth Sense,1999,https://boxd.it/eWbRDh,2,,Hate when I predict the plot twist and then I am just sitting and waiting for it to happen 🫠,,2026-06-25
2026-06-28,Ek Main Aur Ekk Tu,2012,https://boxd.it/eY1vSR,4,,"""You are perfectly average” Us girl us, just watched desi 500 days of summer",,2026-06-27
2026-07-29,The Odyssey,2026,https://boxd.it/fuAl09,4,,Stephen fry here I come,,2026-07-28
2026-08-01,2001: A Space Odyssey,1968,https://boxd.it/fynZFh,4,,"2 hours in, I was intrigued by the themes and ideas The fact that this movie was made in 1968 blows my mind. Hal sent chills down my spine, I’ll have a curtain in between me and the Ai engines from now on. But, after 2 hours, it felt like I was on a trip  ‘’what the actual fuck was going on ?’’",,2026-07-31
2026-08-01,Donald in Mathmagic Land,1959,https://boxd.it/fz4AYJ,5,,"Craz^4y, The billiards section 👌🏻👌🏻👌🏻",,2026-08-01
2026-08-05,Spider-Man: Brand New Day,2026,https://boxd.it/fDL6h3,3,Yes,The chemistry between punisher and Peter was so good but the ending left me wanting for more,,2026-08-04
2026-08-07,Obsession,2025,https://boxd.it/fG7dvt,5,,"The scene where Nikki asks bear to kill her is absolutely terrifying, what a performance",,2026-08-06
2026-08-08,The Sheep Detectives,2026,https://boxd.it/fI6ykR,4,,"Oh, This is the life I want without being murdered.",,2026-08-08
2026-08-12,The Dark Knight Rises,2012,https://boxd.it/fMWwtd,4,,Holy peak!!!!!!!!,,2026-08-12
2026-08-13,Main Vaapas Aaunga,2026,https://boxd.it/fNm6nb,4.5,,Manto’s universe directed by Imtiaz Ali,,2026-08-12
2026-08-14,Sardar Udham,2021,https://boxd.it/fOetzn,3,,The irony of parallels,,2026-08-13
2026-08-15,The Seventh Seal,1957,https://boxd.it/fQeHb3,4,,Camus would have approved of this. The confession to death about the moral dilemma was the highlight for me,,2026-08-15
2026-08-16,Loving Vincent,2017,https://boxd.it/fRsNHL,5,,Stunning to say the least. Human obsession and torment will forever fascinate me no matter the medium,,2026-08-16
2026-08-18,X-Men: First Class,2011,https://boxd.it/fSNfSB,4,,Doomsday countdown but I am intrigued,,2026-08-17
2026-08-19,X2,2003,https://boxd.it/fUvLlr,3,,I fw magneto,,2026-08-19
2026-08-27,Logan,2017,https://boxd.it/g2YKht,4,,Magneto was right all along,,2026-08-27
