Date,Name,Year,Letterboxd URI
2023-07-27,The Wolf of Wall Street,2013,https://boxd.it/3C1m
2023-07-28,Parasite,2019,https://boxd.it/hTha
2023-07-28,Blade Runner 2049,2017,https://boxd.it/b8wK
2023-07-28,Train to Busan,2016,https://boxd.it/dSQU
2023-07-30,The Social Network,2010,https://boxd.it/17ue
2023-07-30,Schindler's List,1993,https://boxd.it/2aq2
2023-07-30,The Pursuit of Happyness,2006,https://boxd.it/28PE
2023-07-31,Spirited Away,2001,https://boxd.it/2b4m
2023-08-01,Vertigo,1958,https://boxd.it/2apI
2023-08-02,Highway,2014,https://boxd.it/7pEy
2023-08-02,Udaan,2010,https://boxd.it/PPe
2023-08-05,The Game,1997,https://boxd.it/26vC
2023-08-26,Raincoat,2004,https://boxd.it/ZPe
2023-08-26,A Clockwork Orange,1971,https://boxd.it/2aVE
2023-08-27,Character,2021,https://boxd.it/us2e
2023-08-30,Wolf Children,2012,https://boxd.it/3Ipk
2023-09-01,A Separation,2011,https://boxd.it/gvo
2023-09-01,There Will Be Blood,2007,https://boxd.it/20Z2
2023-09-01,Psycho,1960,https://boxd.it/2ab2
2023-09-02,Requiem for a Dream,2000,https://boxd.it/29VI
2023-09-08,Only Yesterday,1991,https://boxd.it/1MR4
2023-10-08,Satya,1998,https://boxd.it/1BNq
2023-10-08,Aligarh,2015,https://boxd.it/cRto
2023-10-14,"Salò, or the 120 Days of Sodom",1975,https://boxd.it/237s
2023-10-30,No Smoking,2007,https://boxd.it/1b5W
2023-11-01,Baazigar,1993,https://boxd.it/1EK0
2023-11-01,Phobia,2016,https://boxd.it/dZ6Y
2023-11-05,A Death in the Gunj,2016,https://boxd.it/enKe
2023-11-06,Chintu Ka Birthday,2019,https://boxd.it/of9E
2023-11-06,Ram Singh Charlie,2020,https://boxd.it/rA8S
2023-11-06,200: Halla Ho,2021,https://boxd.it/wpZG
2023-11-09,Ludo,2020,https://boxd.it/ou2o
2023-11-17,Devdas,2002,https://boxd.it/1Leq
2023-12-09,Doctor Dolittle,1998,https://boxd.it/25RM
2023-12-13,The Killer,2023,https://boxd.it/u6WE
2024-02-07,Fury,2014,https://boxd.it/6JwC
2024-08-22,Raat,1992,https://boxd.it/6JmM
2024-08-25,Kaminey,2009,https://boxd.it/1D3u
2024-08-31,I Lost My Body,2019,https://boxd.it/lAYs
2024-09-02,"LSD: Love, Sex aur Dhokha",2010,https://boxd.it/1c6c
2024-09-02,Gulaal,2009,https://boxd.it/1BAw
2024-10-21,Saathiya,2002,https://boxd.it/1D6I
2024-10-23,The Lunchbox,2013,https://boxd.it/5MOs
2024-11-01,The Romantics,2023,https://boxd.it/F5Xy
2024-11-22,The Current War,2017,https://boxd.it/eNvO
2024-11-30,Children of Men,2006,https://boxd.it/1Y2i
2024-11-30,A Dog's Purpose,2017,https://boxd.it/dgSI
2025-04-30,Sarbjit,2016,https://boxd.it/dKVC
2025-05-01,Ajji,2017,https://boxd.it/hksC
2025-05-01,Lakshya,2004,https://boxd.it/1Ckk
2025-05-11,An Action Hero,2022,https://boxd.it/xk3Y
2025-05-11,Chhapaak,2020,https://boxd.it/lK4k
2025-05-18,Detachment,2011,https://boxd.it/2BiY
2025-08-03,Fallen Angels,1995,https://boxd.it/1UkW
2025-08-29,Stolen,2023,https://boxd.it/HJAe
2025-08-29,Fractured,2019,https://boxd.it/kPL2
2025-09-12,Thirteen Lives,2022,https://boxd.it/q7O4
2025-10-28,Evan Almighty,2007,https://boxd.it/26s4
2025-11-09,Smile,2022,https://boxd.it/xjfE
2025-11-14,Rio,2011,https://boxd.it/NKc
2025-11-25,Horror Story,2013,https://boxd.it/77O6
2025-11-29,What Will People Say,2017,https://boxd.it/gPy0
2026-01-12,Dil Se..,1998,https://boxd.it/1CgC
2026-01-12,Maqbool,2003,https://boxd.it/1CbM
2026-01-12,Drishyam,2015,https://boxd.it/bQgm
2026-01-12,Black Friday,2004,https://boxd.it/1oUy
2026-01-13,Raanjhanaa,2013,https://boxd.it/5M1U
2026-01-15,Qarib Qarib Singlle,2017,https://boxd.it/hfbw
2026-01-15,Three of Us,2022,https://boxd.it/DQmq
2026-01-15,Hum Tum,2004,https://boxd.it/24BI
2026-01-17,Rang De Basanti,2006,https://boxd.it/20KG
2026-01-22,Mera Naam Joker,1970,https://boxd.it/1BQY
2026-01-22,Anand,1971,https://boxd.it/1uhM
2026-01-28,The Great Indian Kitchen,2021,https://boxd.it/tyqO
2026-01-28,Mrs.,2023,https://boxd.it/zy8C
2026-01-28,Photograph,2019,https://boxd.it/iE22
2026-01-28,Kahaani,2012,https://boxd.it/2UfY
2026-01-28,Dil Chahta Hai,2001,https://boxd.it/1Nsk
2026-01-28,Ek Hasina Thi,2004,https://boxd.it/4mtQ
2026-01-28,Ship of Theseus,2012,https://boxd.it/4c5O
2026-01-28,Section 375,2019,https://boxd.it/imN0
2026-01-28,Dhobi Ghat,2010,https://boxd.it/tae
2026-01-28,A Wednesday!,2008,https://boxd.it/1EFE
2026-02-02,Forgotten,2017,https://boxd.it/hAJE
